SO,Fase,Variable_o_Escenario,Valor_o_Latencia,Jitter_ms,Perdida_pct,TLS,Iteracion,time_connect,time_appconnect,handshake_ms,time_total,http_code,status
macOS,Parametro,Latencia,50,0,0,tls12,5,0.062935,0.219699,156.764,0.504255,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,6,0.061704,0.216146,154.442,0.61133,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,7,0.0608,0.213629,152.829,0.518717,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,8,0.060517,0.217229,156.712,0.505475,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,9,0.061154,0.216432,155.278,0.506279,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,10,0.062831,0.215996,153.165,0.479896,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,11,0.062427,0.223196,160.769,0.507324,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,12,0.061413,0.228432,167.019,0.508999,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,13,0.062068,0.215754,153.686,0.501902,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,14,0.065648,0.231845,166.197,0.508512,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,15,0.061148,0.216307,155.159,0.496623,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,16,0.062525,0.214714,152.189,0.49892,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,17,0.068733,0.225856,157.123,0.613256,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,18,0.066613,0.225999,159.386,0.612803,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,19,0.063077,0.216339,153.262,0.502166,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,20,0.063232,0.217334,154.102,0.499147,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,21,0.063219,0.218544,155.325,0.50077,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,22,0.061211,0.220716,159.505,0.508134,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,23,0.064581,0.22134,156.759,0.487281,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,24,0.062065,0.219525,157.46,0.503436,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,25,0.06076,0.215587,154.827,0.481674,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,26,0.062679,0.226488,163.809,0.513386,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,27,0.06179,0.21298,151.19,0.471168,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,28,0.062208,0.213353,151.145,0.495462,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,29,0.062157,0.223322,161.165,0.488289,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,30,0.066872,0.225141,158.269,0.511285,200,OK
macOS,Parametro,Latencia,50,0,0,tls12,31,0.063348,0.218956,155.608,0.499324,200,OK
