SO,Fase,Variable_o_Escenario,Valor_o_Latencia,Jitter_ms,Perdida_pct,TLS,Iteracion,time_connect,time_appconnect,handshake_ms,time_total,http_code,status
macOS,Parametro,Latencia,0,0,0,tls13,1,0.045815,0.099032,53.217,0.342534,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,2,0.011627,0.053723,42.096,0.182193,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,3,0.020156,0.150905,130.749,0.502145,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,4,0.028181,2.447396,2419.215,2.865905,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,5,0.143803,0.54447,400.667,0.684838,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,6,0.046026,0.137344,91.318,0.284716,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,7,0.115892,0.246847,130.955,0.471161,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,8,0.04786,0.144058,96.198,0.410741,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,9,0.014024,0.061891,47.867,0.244085,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,10,0.011799,0.139633,127.834,0.284303,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,11,0.016657,0.154245,137.588,0.36675,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,12,0.012828,0.06823,55.402,0.309355,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,13,0.104107,0.145044,40.937,0.289886,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,14,0.011773,0.117226,105.453,0.333673,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,15,0.010145,0.051262,41.117,0.164721,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,16,0.087852,0.133632,45.78,0.299942,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,17,0.010249,0.049082,38.833,0.178542,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,18,0.081952,0.123161,41.209,0.256387,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,19,0.011996,0.056578,44.582,0.175662,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,20,0.100169,0.15527,55.101,0.311232,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,21,0.013555,0.057762,44.207,0.318326,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,22,0.011305,0.055219,43.914,0.19358,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,23,0.013124,0.054321,41.197,0.253221,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,24,0.011319,0.055262,43.943,0.193017,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,25,0.01107,0.053276,42.206,0.264289,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,26,0.011082,0.050698,39.616,0.169789,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,27,0.010791,0.055994,45.203,0.277718,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,28,0.012276,0.053437,41.161,0.183543,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,29,0.016893,0.059619,42.726,0.17251,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,30,0.012398,0.054616,42.218,0.166159,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,31,0.011947,0.055153,43.206,0.183105,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,32,0.014183,0.055728,41.545,0.200241,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,33,0.012727,0.054864,42.137,0.191149,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,34,0.013158,0.054769,41.611,0.18784,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,35,0.01111,0.052785,41.675,0.187986,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,36,0.01112,0.052985,41.865,0.163367,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,37,0.012306,0.054401,42.095,0.173445,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,38,0.013559,0.055218,41.659,0.195948,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,39,0.012092,0.055182,43.09,0.174806,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,40,0.012498,0.05779,45.292,0.185582,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,41,0.015199,0.061699,46.5,0.20258,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,42,0.011957,0.052661,40.704,0.184331,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,43,0.010355,0.052517,42.162,0.167997,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,44,0.011174,0.054671,43.497,0.186773,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,45,0.011465,0.053642,42.177,0.192701,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,46,0.01185,0.052795,40.945,0.237268,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,47,0.016662,0.059665,43.003,0.182983,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,48,0.012098,0.053651,41.553,0.168528,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,49,0.01164,0.054401,42.761,0.185453,200,OK
macOS,Parametro,Latencia,0,0,0,tls13,50,0.011031,0.05416,43.129,0.191521,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,1,0.063667,0.160133,96.466,0.441377,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,2,0.062074,0.15635,94.276,0.43684,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,3,0.062183,0.15577,93.587,0.425522,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,4,0.062381,0.159023,96.642,0.421915,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,5,0.06099,0.154621,93.631,0.446213,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,6,0.061571,0.157512,95.941,0.418028,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,7,0.062011,0.155026,93.015,0.424159,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,8,0.067711,0.163511,95.8,0.445119,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,9,0.062729,0.155941,93.212,0.440049,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,10,0.061473,0.155297,93.824,0.419375,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,11,0.06381,0.161598,97.788,0.426808,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,12,0.060803,0.155125,94.322,0.41745,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,13,0.061681,0.152317,90.636,0.448997,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,14,0.060966,0.14969,88.724,0.431666,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,15,0.060794,0.15709,96.296,0.447148,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,16,0.065295,0.159514,94.219,0.436965,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,17,0.061859,0.1567,94.841,0.42056,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,18,0.064645,0.158895,94.25,0.426477,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,19,0.061574,0.16158,100.006,0.432354,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,20,0.063007,0.16031,97.303,0.44719,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,21,0.062444,0.156766,94.322,0.437193,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,22,0.061252,0.153109,91.857,0.530482,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,23,0.060606,0.154242,93.636,0.436592,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,24,0.062769,0.156864,94.095,0.437637,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,25,0.061595,0.157572,95.977,0.438114,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,26,0.06133,0.154153,92.823,0.416507,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,27,0.063231,0.154957,91.726,0.434837,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,28,0.06407,0.157069,92.999,0.440355,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,29,0.060785,0.155114,94.329,0.416237,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,30,0.066111,0.161443,95.332,0.558871,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,31,0.061847,0.157899,96.052,0.445375,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,32,0.06367,0.160846,97.176,0.439588,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,33,0.062214,0.155338,93.124,0.42501,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,34,0.063882,0.165195,101.313,0.44857,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,35,0.063909,0.16551,101.601,0.560785,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,36,0.062155,0.157001,94.846,0.426132,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,37,0.06254,0.153792,91.252,0.534506,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,38,,,,,000,ERROR
macOS,Parametro,Latencia,50,0,0,tls13,39,,,,,000,ERROR
macOS,Parametro,Latencia,50,0,0,tls13,40,,,,,000,ERROR
macOS,Parametro,Latencia,50,0,0,tls13,41,3.803657,3.900059,96.402,4.257037,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,42,0.061495,0.154119,92.624,0.600725,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,43,0.068465,0.202541,134.076,0.518064,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,44,0.13297,0.225897,92.927,0.551314,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,45,0.074685,0.264086,189.401,0.784838,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,46,0.061549,0.154495,92.946,0.622118,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,47,0.062928,0.195915,132.987,0.501569,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,48,0.144872,0.340669,195.797,0.696932,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,49,0.115807,0.206238,90.431,0.642641,200,OK
macOS,Parametro,Latencia,50,0,0,tls13,50,0.069429,0.176152,106.723,0.608999,200,OK
macOS,Parametro,Latencia,100,0,0,tls13,1,0.112793,0.275658,162.865,0.901289,200,OK
macOS,Parametro,Latencia,100,0,0,tls13,2,0.151162,0.380607,229.445,0.907643,200,OK
macOS,Parametro,Latencia,100,0,0,tls13,3,0.113095,0.274071,160.976,0.772879,200,OK
macOS,Parametro,Latencia,100,0,0,tls13,4,0.147046,0.293871,146.825,0.997391,200,OK
macOS,Parametro,Latencia,100,0,0,tls13,5,0.166336,0.32026,153.924,0.867439,200,OK
macOS,Parametro,Latencia,100,0,0,tls13,6,0.111445,0.330873,219.428,0.975725,200,OK
macOS,Parametro,Latencia,100,0,0,tls13,7,0.13532,0.376263,240.943,0.97445,200,OK
macOS,Parametro,Latencia,100,0,0,tls13,8,0.163857,0.418512,254.655,1.027282,200,OK
macOS,Parametro,Latencia,100,0,0,tls13,9,0.153048,0.301746,148.698,0.789015,200,OK
macOS,Parametro,Latencia,100,0,0,tls13,10,0.120807,0.265786,144.979,0.698955,200,OK
macOS,Parametro,Latencia,100,0,0,tls13,11,0.166265,0.395271,229.006,1.024825,200,OK
macOS,Parametro,Latencia,100,0,0,tls13,12,0.140909,0.371376,230.467,0.977867,200,OK
macOS,Parametro,Latencia,100,0,0,tls13,13,0.135794,0.358555,222.761,0.982056,200,OK
macOS,Parametro,Latencia,100,0,0,tls13,14,0.162031,0.391419,229.388,0.925756,200,OK
macOS,Parametro,Latencia,100,0,0,tls13,15,0.112147,0.282179,170.032,0.80178,200,OK
macOS,Parametro,Latencia,100,0,0,tls13,16,0.127685,0.271877,144.192,0.97512,200,OK
macOS,Parametro,Latencia,100,0,0,tls13,17,0.157454,0.300423,142.969,1.00693,200,OK
macOS,Parametro,Latencia,100,0,0,tls13,18,0.158626,0.304599,145.973,0.855635,200,OK
